esperimento,crop,matcher,preprocess,morph_open,morph_close,codici,modello,degrado,rot_deg,scala,tx,ty,prospettiva,ratio,loftr_conf,loftr_max_lato,ransac_thresh,seed,n_kp_a,n_kp_b,n_matches,n_inliers,inlier_ratio,rmse_px,rmse_m,err_max_px,success_stima,success,motivo,t_init_ms,t_match_ms,t_stima_ms
E1,ribba,orb,clahe,0,0,,homography,0.0,15,1.15,30,20,0.0,,,,3.0,42,5000,5000,2504,1855,0.740815,0.34079451092327834,0.08671618568796094,0.9425829599124917,True,True,,,145.8,1.5
E1,ribba,orb,clahe,0,0,,homography,0.25,15,1.15,30,20,0.0,,,,3.0,42,5000,5000,2449,1802,0.735811,0.48996062253613815,0.12467195028618795,1.173860328772711,True,True,,,140.9,1.5
E1,ribba,orb,clahe,0,0,,homography,0.5,15,1.15,30,20,0.0,,,,3.0,42,5000,5000,2201,1643,0.746479,0.28788989973736123,0.07325444865787077,0.6692577998762037,True,True,,,150.4,1.3
E1,ribba,orb,clahe,0,0,,homography,0.75,15,1.15,30,20,0.0,,,,3.0,42,5000,5000,1901,1124,0.591268,0.3442492162880325,0.08759524583213874,0.8410080376546144,True,True,,,147.4,2.4
E1,ribba,orb,clahe,0,0,,homography,1.0,15,1.15,30,20,0.0,,,,3.0,42,5000,5000,1550,686,0.442581,0.9255983224909106,0.23552126995277964,2.67089198644424,True,True,,,152.6,4.0
E1,ribba,orb,clahe,0,0,,homography,1.1,15,1.15,30,20,0.0,,,,3.0,42,5000,5000,1349,481,0.35656,1.4515136943880962,0.3693420140781342,4.446083039138004,True,False,,,157.0,8.6
E1,ribba,orb,clahe,0,0,,homography,1.2,15,1.15,30,20,0.0,,,,3.0,42,5000,4965,1205,360,0.298755,1.2202238448751284,0.310489618000011,3.3246545056047694,True,False,,,150.7,17.6
E1,ribba,orb,clahe,0,0,,homography,1.3,15,1.15,30,20,0.0,,,,3.0,42,5000,4923,1102,247,0.224138,1.2002621528433353,0.3054103055774452,2.955674508770367,True,False,,,152.2,52.7
E1,ribba,orb,clahe,0,0,,homography,1.4,15,1.15,30,20,0.0,,,,3.0,42,5000,4884,997,126,0.126379,2.4372565255616863,0.6201672346987477,7.582982793532231,True,False,,,150.5,122.3
E1,ribba,orb,clahe,0,0,,homography,1.5,15,1.15,30,20,0.0,,,,3.0,42,5000,4848,924,66,0.071429,4.854023380391446,1.2351208112107446,15.657849369498715,True,False,,,152.6,121.8
E1,ribba,orb,clahe,0,0,,homography,0.0,0,1.0,0.0,0.0,0.0,,,,3.0,42,5000,5000,5000,5000,1.0,2.2053282365883992e-13,5.611523857846279e-14,5.972786903972607e-13,True,True,,,139.8,1.2
E1,ribba,orb,clahe,0,0,,homography,0.0,5,1.0,0.0,0.0,0.0,,,,3.0,42,5000,5000,3634,3435,0.945239,0.06897487350965688,0.01755086348915272,0.16678768317594406,True,True,,,167.2,1.3
E1,ribba,orb,clahe,0,0,,homography,0.0,15,1.0,0.0,0.0,0.0,,,,3.0,42,5000,5000,3328,3026,0.909255,0.14507802676961032,0.036915539145607655,0.31315390232885026,True,True,,,141.8,1.8
E1,ribba,orb,clahe,0,0,,homography,0.0,30,1.0,0.0,0.0,0.0,,,,3.0,42,5000,5000,3112,2838,0.911954,0.2002886242839576,0.050964041314925865,0.394506061040296,True,True,,,139.0,1.4
E1,ribba,orb,clahe,0,0,,homography,0.0,45,1.0,0.0,0.0,0.0,,,,3.0,42,5000,5000,3072,2584,0.841146,0.2430062833014244,0.06183367780489734,0.5160077183625944,True,True,,,142.3,1.4
E1,ribba,orb,clahe,0,0,,homography,0.0,90,1.0,0.0,0.0,0.0,,,,3.0,42,5000,5000,4201,4059,0.966199,0.5157437531620379,0.13123254522334002,0.5532908865420835,True,True,,,142.0,3.1
